1,Levotiroxina,Losec,125mg,Crema,H0347,Oral,mg,1,0
2,Insulina Glargina,Zantac,500mcg,Jarabe,A1088,Oral,mcg,0,0
3,Cefalexina,Doloneurobion,600ml,Suspensión,J0142,Inhalada,ml,1,0
4,Salbutamol,Voltaren,10mcg,Cápsula,R0354,Inhalada,mcg,0,0
5,Hidroclorotiazida,Losec,600ml,Polvo,G0340,Oral,ml,1,0
6,Levotiroxina,Losec,125ml,Suspensión,H0382,Oral,ml,0,0
7,Cetirizina,Losec,600UI,Crema,G0391,Intravenosa,UI,1,0
8,Naproxeno,Zithromax,125g,Polvo,J0184,Oral,g,1,1
9,Aspirina,Dolex,600mcg,Crema,M0174,Sublingual,mcg,0,0
10,Amiodarona,Augmentin,750g,Cápsula,C0119,Inhalada,g,1,0
11,Prednisolona,Loxcell,1000mg,Suspensión,B0125,Sublingual,mg,1,0
12,Cefalexina,Dexasone,850mg,Solución inyectable,J0113,Inhalada,mg,1,0
13,Azitromicina,Zocor,250ml,Suspensión,J0124,Inhalada,ml,1,0
14,Amiodarona,Losan,250mcg,Jarabe,C0168,Inhalada,mcg,1,0
15,Ranitidina,NPH Insulatard,20mcg,Ungüento,A0272,Oral,mcg,1,0
16,Levotiroxina,Plavix,600ml,Polvo,H0356,Intravenosa,ml,1,0
17,Diclofenaco,Plavix,125ml,Suspensión,M0125,Intravenosa,ml,0,0
18,Enalaprilo,Zithromax,20mg,Tableta,C0941,Tópica,mg,0,0
19,Amoxicilina+Ácido clavulánico,Levopar,600UI,Solución inyectable,J0152,Intravenosa,UI,0,0
20,Omeprazol,Doloneurobion,500UI,Suspensión,A0224,Intravenosa,UI,1,1
21,Atorvastatina,Zantac,850mg,Jarabe,C1016,Tópica,mg,1,0
22,Ampicilina,Prozac,5g,Cápsula,J0174,Inhalada,g,1,0
23,Loratadina,Lantus,125mg,Polvo,R0364,Inhalada,mg,1,0
24,Valsartán,Ventolin,20mcg,Cápsula,J0145,Intravenosa,mcg,1,0
25,Prednisolona,Lantus,10UI,Ungüento,R0399,Oral,UI,1,0
26,Loratadina,NPH Insulatard,5mcg,Ungüento,N0268,Tópica,mcg,1,0
27,Clopidogrel,Voltaren,750g,Jarabe,B0118,Inhalada,g,1,1
28,Warfarina,Eutirox,850mcg,Tableta,B0181,Sublingual,mcg,1,0
29,Acido Fólico,Coumadin,1000mg,Suspensión,B0349,Sublingual,mg,1,0
30,Acido Fólico,Prozac,600mg,Crema,B0357,Sublingual,mg,1,0
31,Insulina Glargina,Levopar,20UI,Tableta,A1094,Sublingual,UI,0,0
32,Levotiroxina,Coumadin,750g,Crema,H0333,Oral,g,0,0
33,Acetaminofén,Eutirox,125mg,Solución inyectable,N0263,Inhalada,mg,1,0
34,Clopidogrel,Coumadin,20UI,Cápsula,B0129,Oral,UI,1,0
35,Omeprazol,Lantus,1000ml,Polvo,A0244,Inhalada,ml,1,0
36,Losartán,Losec,20ml,Suspensión,C0938,Oral,ml,1,0
37,Salbutamol,Ibuflam,500g,Suspensión,R0325,Tópica,g,1,0
38,Insulina NPH,Levopar,600UI,Crema,A1060,Oral,UI,0,1
39,Ampicilina,Ventolin,20ml,Ungüento,J0147,Inhalada,ml,1,1
40,Azitromicina,Lantus,850mg,Ungüento,J0141,Oral,mg,1,0
41,Salbutamol,Eutirox,850mcg,Crema,R0319,Intravenosa,mcg,1,1
42,Amoxicilina+Ácido clavulánico,Plavix,850mcg,Solución inyectable,J0128,Oral,mcg,1,0
43,Amoxicilina+Ácido clavulánico,Zithromax,250mcg,Polvo,J0182,Inhalada,mcg,0,0
44,Cetirizina,Zithromax,850mcg,Polvo,B0170,Oral,mcg,1,0
45,Amoxicilina,Plavix,10mg,Suspensión,J0167,Inhalada,mg,1,0
46,Diclofenaco,Loxcell,20UI,Ungüento,M0184,Inhalada,UI,1,0
47,Ciprofloxacina,Ventolin,20ml,Jarabe,N0267,Oral,ml,1,0
48,Levotiroxina,Loxcell,10mcg,Tableta,H0366,Intravenosa,mcg,0,0
49,Dexametasona,Plavix,750ml,Ungüento,H0296,Tópica,ml,1,0
50,Ampicilina,Ventolin,250UI,Ungüento,J0142,Tópica,UI,1,0
51,Naproxeno,Loxcell,20mcg,Crema,B0193,Tópica,mcg,1,0
52,Ampicilina,Losec,10ml,Crema,J0195,Intravenosa,ml,1,0
53,Loratadina,Zithromax,1000UI,Crema,J0156,Oral,UI,1,0
54,Amoxicilina+Ácido clavulánico,Prozac,600mcg,Jarabe,J0119,Intravenosa,mcg,1,0
55,Ranitidina,Eutirox,10mg,Crema,A0226,Sublingual,mg,1,0
56,Levotiroxina,Coumadin,20mcg,Polvo,H0362,Oral,mcg,1,0
57,Cetirizina,Coumadin,5mcg,Solución inyectable,R0370,Tópica,mcg,0,0
58,Cefalexina,Lantus,5g,Ungüento,J0177,Sublingual,g,1,0
59,Azitromicina,Doloneurobion,750mg,Polvo,J0180,Tópica,mg,0,0
60,Losartán,Losec,250mcg,Suspensión,C0975,Inhalada,mcg,1,0
61,Paracetamol,Plavix,125ml,Tableta,G0374,Inhalada,ml,1,0
62,Atorvastatina,Glucophage,850mg,Crema,C1027,Intravenosa,mg,1,0
63,Acetaminofén,Coumadin,5ml,Tableta,N0212,Oral,ml,1,0
64,Warfarina,Keflex,10ml,Cápsula,B0140,Tópica,ml,1,1
65,Azitromicina,Lantus,250mg,Polvo,J0178,Sublingual,mg,1,0
66,Acetaminofén,Losec,1000mg,Crema,N0283,Intravenosa,mg,1,0
67,Dexametasona,Loxcell,10UI,Tableta,H0270,Inhalada,UI,1,0
68,Warfarina,Glucophage,850mg,Crema,B0194,Intravenosa,mg,1,0
69,Aspirina,Clamoxin,850UI,Crema,C0997,Intravenosa,UI,1,0
70,Acetaminofén,Loxcell,5mg,Suspensión,N0215,Intravenosa,mg,0,0
71,Salbutamol,Amicor,1000UI,Polvo,R0314,Tópica,UI,0,0
72,Amoxicilina+Ácido clavulánico,Clamoxin,850g,Cápsula,J0165,Tópica,g,0,0
73,Prednisolona,Dolex,5ml,Crema,B0144,Sublingual,ml,0,0
74,Azitromicina,Dolex,10g,Crema,J0120,Oral,g,1,0
75,Levotiroxina,NPH Insulatard,500ml,Crema,H0315,Inhalada,ml,1,0
76,Insulina Glargina,Lipitor,125mg,Ungüento,A1075,Tópica,mg,0,0
77,Naproxeno,Clamoxin,500mg,Solución inyectable,G0356,Tópica,mg,1,0
78,Acido Fólico,Lantus,850g,Polvo,B0383,Oral,g,1,0
79,Omeprazol,Zocor,250mg,Jarabe,A0276,Inhalada,mg,1,0
80,Omeprazol,Folifer,5mcg,Suspensión,A0235,Inhalada,mcg,1,0
81,Levotiroxina,Lantus,250g,Crema,H0380,Oral,g,1,0
82,Naproxeno,Amicor,600mg,Solución inyectable,B0140,Intravenosa,mg,0,1
83,Dexametasona,Lantus,10mcg,Cápsula,H0249,Oral,mcg,1,0
84,Insulina Glargina,Coumadin,1000UI,Cápsula,A1050,Intravenosa,UI,1,0
85,Dexametasona,Doloneurobion,10UI,Jarabe,H0265,Intravenosa,UI,1,0
86,Loratadina,Losec,500mcg,Crema,C0954,Intravenosa,mcg,0,0
87,Ampicilina,Lipitor,600UI,Suspensión,J0190,Intravenosa,UI,1,0
88,Ibuprofeno,Zantac,20mcg,Jarabe,M0187,Sublingual,mcg,1,0
89,Metformina,Loxcell,125UI,Suspensión,A1083,Intravenosa,UI,1,0
90,Diclofenaco,Levopar,750g,Polvo,M0197,Intravenosa,g,1,0
91,Ibuprofeno,Lantus,1000ml,Polvo,M0153,Intravenosa,ml,1,0
92,Aspirina,Doloneurobion,850UI,Cápsula,M0140,Tópica,UI,1,0
93,Losartán,Clamoxin,750ml,Ungüento,C0930,Intravenosa,ml,0,0
94,Paracetamol,Prozac,10ml,Polvo,C0973,Tópica,ml,1,0
95,Atorvastatina,Ibuflam,20g,Tableta,C1046,Oral,g,1,0
96,Amiodarona,Losec,10mg,Cápsula,C0127,Inhalada,mg,0,0
97,Aspirina,Dexasone,125UI,Solución inyectable,A1080,Tópica,UI,1,0
98,Ranitidina,Lipitor,20UI,Cápsula,A0222,Intravenosa,UI,1,0
99,Dexametasona,Coumadin,500mcg,Ungüento,H0215,Sublingual,mcg,1,1
100,Amiodarona,Amicor,5mcg,Jarabe,C0188,Tópica,mcg,1,0
101,Salbutamol,Zantac,850UI,Polvo,R0348,Sublingual,UI,1,1
102,Losartán,NPH Insulatard,20g,Tableta,C0970,Sublingual,g,1,0
103,Cetirizina,Eutirox,125UI,Polvo,N0277,Intravenosa,UI,1,0
104,Naproxeno,Clamoxin,20mg,Solución inyectable,N0266,Oral,mg,1,0
105,Insulina Glargina,Amicor,20ml,Tableta,A1076,Intravenosa,ml,1,0
106,Levodopa,Dexasone,850mcg,Polvo,N0453,Sublingual,mcg,1,0
107,Hidroclorotiazida,Ibuflam,600g,Suspensión,G0348,Intravenosa,g,0,0
108,Amiodarona,Ventolin,5g,Suspensión,C0125,Tópica,g,1,0
109,Prednisolona,Coumadin,500g,Tableta,B0120,Tópica,g,1,0
110,Amiodarona,Ibuflam,600UI,Suspensión,C0199,Sublingual,UI,1,1
111,Paracetamol,Clamoxin,10mcg,Solución inyectable,N0222,Oral,mcg,1,0
112,Amoxicilina+Ácido clavulánico,Doloneurobion,125UI,Jarabe,J0193,Inhalada,UI,0,0
113,Enalaprilo,Coumadin,750g,Suspensión,C0921,Oral,g,1,0
114,Candesartán,NPH Insulatard,500mg,Ungüento,C0933,Inhalada,mg,0,0
115,Candesartán,Losec,20UI,Cápsula,A1046,Tópica,UI,1,0
116,Acetaminofén,Amicor,5g,Solución inyectable,N0252,Oral,g,1,0
117,Ibuprofeno,Glucophage,850g,Solución inyectable,M0188,Intravenosa,g,0,0
118,Loratadina,Loxcell,1000mg,Jarabe,B0171,Intravenosa,mg,1,0
119,Atorvastatina,Lantus,750g,Suspensión,C1083,Sublingual,g,1,0
120,Amoxicilina,Voltaren,250ml,Suspensión,J0161,Intravenosa,ml,1,0
